通し番号,品番,商品ID,商品名,タイトル,仕入個数,在庫数,棚卸,仕入日
"38,688",080866W13071040AE,4969929254795 ,BOSETVSPEAKER,TV Speaker テレビスピーカー Bluetooth 接続,1,1,,2022/1/14
"38,686",TL1091-KL0012636,4968929077878 ,JBLBAR50MBBLKJN,JBLBAR50MBBLKJN [サウンドバー BAR 5.0 MultiBeam Dolby Atmos 対応],1,1,,2022/1/14
"38,111",A005501279696,4938833023728 ,PLJM-16911,FIFA 22 [PS4] ,1,1,,2021/12/27
"38,081",A0120211203108308,4988602174106 ,RL007-J1,コナミ 遊戯王ラッシュデュエル 最強バトルロイヤル！！ [Nintendo Switch] ,1,1,,2021/12/24
"38,075",A0120211129107614,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/24
"38,073",A0120211125109094,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/24
"38,071",A0120211202101775,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/24
"38,032",A358636341755,4938833023728 ,PLJM-16911,FIFA 22 [PS4] ,1,1,,2021/12/24
"37,890",A444301515361,5060528036696 ,HAC-P-A2DJB,パウ・パトロール：ザ・ムービー アドベンチャー・シティがよんでいる[Nintendo Switch],1,1,,2021/12/21
"37,836",ADA0822538111,4535506303288 ,ELJM-30026,マーベラス CONTROL アルティメット・エディション [PS5] ,1,1,,2021/12/20
"37,796",B623163406213,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/20
"37,591",A522530630834,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/16
"37,450",M9AIB7608664J7C,195553316767 ,ZS590KS-BK256S16,Zenfone 8 256GB (RAM 16GBモデル) SIMフリー [オブシディアンブラック] ,1,1,,2021/12/15
"37,403",B522530066656,4902370549003 ,HAC-P-AX7RA,ポケットモンスター シャイニングパール [Nintendo Switch] ,1,1,,2021/12/14
